"","X","Y","H","DBH"
"1",754226.038288402,3389000.41971348,6.0611848,0.364434493427831
"2",754218.448226419,3389000.33173624,9.447818,0.25
"3",754143.929536107,3388932.79615924,5.46395419999996,0.25
"4",754110.612346415,3388906.47580086,1.8168477,0.423895623945329
"5",754178.448479253,3388961.87054472,5.1636772,0.176776695296637
"6",754132.77968028,3388923.22488292,6.006211,0.279508497187474
"7",754202.394448225,3388981.15654467,5.97724559999999,0.306186217847897
"8",754166.790783655,3388951.83334282,5.26724759999999,0.233853586673371
"9",754183.215176833,3388971.36323025,9.40686529999999,0.197642353760524
"10",754190.363024162,3388971.39752367,5.6631943,0.25
